Gene			mutation freqency in human	# of mutation in dog
DNAJB13	1	109	0.009174312	0
VIL1	2	109	0.018348624	0
DNAJB14	1	109	0.009174312	0
KIF3A_ENST00000378735	2	109	0.018348624	0
TSHZ3	1	109	0.009174312	0
FOXS1	1	109	0.009174312	0
VILL	2	109	0.018348624	0
ZNF583	1	109	0.009174312	0
CNNM2_ENST00000369878	1	109	0.009174312	0
TIPARP	1	109	0.009174312	0
ZNF589	1	109	0.009174312	0
TTN_ENST00000342992	6	109	0.055045872	0
ZFP161	3	109	0.027522936	0
AKAP3_ENST00000545990	1	109	0.009174312	0
DDX41_ENST00000507955	1	109	0.009174312	0
PSD	1	109	0.009174312	0
CAMKK2	1	109	0.009174312	0
OR8U1	1	109	0.009174312	0
RNF170_ENST00000319104	1	109	0.009174312	0
UBR7	2	109	0.018348624	0
L3MBTL1_ENST00000373134	1	109	0.009174312	0
L3MBTL1_ENST00000373135	1	109	0.009174312	0
ATP2B3_ENST00000370186	1	109	0.009174312	0
MYO1F	3	109	0.027522936	0
MYO1A	3	109	0.027522936	0
RBFOX1_ENST00000311745	2	109	0.018348624	0
BCR	1	109	0.009174312	0
OR52N2	1	109	0.009174312	0
CLPTM1_ENST00000347493	1	109	0.009174312	0
HOXA11	1	109	0.009174312	0
SF3B5	1	109	0.009174312	0
FAM188A	1	109	0.009174312	0
MTMR3_ENST00000401950	1	109	0.009174312	0
GALNTL4	1	109	0.009174312	0
GALNTL1	1	109	0.009174312	0
TTYH2	1	109	0.009174312	0
ZNF323	1	109	0.009174312	0
GALNTL2	1	109	0.009174312	0
ZNF329	2	109	0.018348624	0
FGFR2_ENST00000457416	1	109	0.009174312	0
HN1_ENST00000409753	1	109	0.009174312	0
ZNF776_ENST00000317178	2	109	0.018348624	0
NMU	1	109	0.009174312	0
GNAL_ENST00000423027	1	109	0.009174312	0
HN1	1	109	0.009174312	0
EREG	2	109	0.018348624	0
MYO16	3	109	0.027522936	0
ASAP2	1	109	0.009174312	0
GSG2_ENST00000325418	2	109	0.018348624	0
KIAA1522	2	109	0.018348624	0
OGFR_ENST00000370461	1	109	0.009174312	0
KIAA1529	1	109	0.009174312	0
ADAM19_ENST00000257527	1	109	0.009174312	0
LPCAT2	2	109	0.018348624	0
LPCAT3	2	109	0.018348624	0
MID1IP1	1	109	0.009174312	0
PIGG	2	109	0.018348624	0
KRT27	2	109	0.018348624	0
C20orf185	1	109	0.009174312	0
C20orf186	1	109	0.009174312	0
TMEM194B	1	109	0.009174312	0
ATP6V1C2_ENST00000272238	2	109	0.018348624	0
PIGZ	1	109	0.009174312	0
KRT25	1	109	0.009174312	0
SNAPC3	1	109	0.009174312	0
ALPP	1	109	0.009174312	0
ABLIM1_ENST00000336585	1	109	0.009174312	0
RHPN2	1	109	0.009174312	0
FAM134C	2	109	0.018348624	0
PDK2	2	109	0.018348624	0
SCYL3_ENST00000367772	2	109	0.018348624	0
ROD1	2	109	0.018348624	0
ALPI	2	109	0.018348624	0
RNF212_ENST00000433731	1	109	0.009174312	0
ABCC4_ENST00000376887	2	109	0.018348624	0
SPATC1_ENST00000377470	1	109	0.009174312	0
UMOD_ENST00000424589	2	109	0.018348624	0
OGFRL1	1	109	0.009174312	0
KIR3DL1_ENST00000402254	1	109	0.009174312	0
CHD2_ENST00000394196	4	109	0.036697248	0
SLC39A10	1	109	0.009174312	0
SLC39A11	1	109	0.009174312	0
NTRK1	2	109	0.018348624	0
NTRK2	1	109	0.009174312	0
OPCML_ENST00000524381	4	109	0.036697248	0
ARHGAP21	3	109	0.027522936	0
ARHGAP29	1	109	0.009174312	0
ARHGAP28	1	109	0.009174312	0
DDIT3	1	109	0.009174312	0
MICALCL	1	109	0.009174312	0
TECRL	3	109	0.027522936	0
VSX1_ENST00000376707	1	109	0.009174312	0
BMP7	1	109	0.009174312	0
BMP6	1	109	0.009174312	0
BMP1	1	109	0.009174312	0
GPR4	1	109	0.009174312	0
DR1	1	109	0.009174312	0
OR5R1	1	109	0.009174312	0
ASF1B	2	109	0.018348624	0
SH3TC2_ENST00000502274	1	109	0.009174312	0
TRIM48_ENST00000417545	2	109	0.018348624	0
STK16_ENST00000409638	1	109	0.009174312	0
PTOV1	1	109	0.009174312	0
RASSF2	1	109	0.009174312	0
RASSF4	1	109	0.009174312	0
LPPR4	2	109	0.018348624	0
ATP5C1	2	109	0.018348624	0
CHD4	3	109	0.027522936	0
CHD6	7	109	0.064220183	0
CAP1	1	109	0.009174312	0
CAP2	3	109	0.027522936	0
NPC2	1	109	0.009174312	0
NPC1	2	109	0.018348624	0
ARHGEF9_ENST00000253401	1	109	0.009174312	0
C3orf58	1	109	0.009174312	0
TTC6	1	109	0.009174312	0
IL4R	1	109	0.009174312	0
PIKFYVE	1	109	0.009174312	0
PCDHA4_ENST00000530339	2	109	0.018348624	0
MSH3_ENST00000265081	3	109	0.027522936	0
DAG1	1	109	0.009174312	0
PIK3R1_ENST00000336483	1	109	0.009174312	0
ETHE1	1	109	0.009174312	0
PRDM16	4	109	0.036697248	0
MPG	1	109	0.009174312	0
PRDM15	1	109	0.009174312	0
ABCG5	1	109	0.009174312	0
PRDM10	3	109	0.027522936	0
PLSCR1	1	109	0.009174312	0
MPO	3	109	0.027522936	0
MPL	2	109	0.018348624	0
PRKCZ	1	109	0.009174312	0
POLRMT	2	109	0.018348624	0
SGSM3	1	109	0.009174312	0
GSTCD_ENST00000515279	1	109	0.009174312	0
GRPEL2	1	109	0.009174312	0
HIST1H3J	1	109	0.009174312	0
ZNF512	3	109	0.027522936	0
DCHS2_ENST00000339452	2	109	0.018348624	0
QRSL1	1	109	0.009174312	0
RFPL3_ENST00000249007	1	109	0.009174312	0
AKR1B10	1	109	0.009174312	0
FAHD1	2	109	0.018348624	0
HIST1H2BK_ENST00000396891	2	109	0.018348624	0
C4orf34	1	109	0.009174312	0
ZFP36L1	9	109	0.082568807	0
GGA1	2	109	0.018348624	0
GGA2	1	109	0.009174312	0
C15orf44	3	109	0.027522936	0
C15orf42	3	109	0.027522936	0
FHOD1	1	109	0.009174312	0
ADH7	3	109	0.027522936	0
C4orf7	1	109	0.009174312	0
PKD1	1	109	0.009174312	0
ZNF138	1	109	0.009174312	0
PRKACG	2	109	0.018348624	0
PRKACA	1	109	0.009174312	0
PRKACB	1	109	0.009174312	0
ZNF133	1	109	0.009174312	0
ZNF134	1	109	0.009174312	0
PFKFB3	1	109	0.009174312	0
C20orf79	1	109	0.009174312	0
LMBR1L	1	109	0.009174312	0
MAF1	1	109	0.009174312	0
C20orf72	2	109	0.018348624	0
SPHK2_ENST00000443164	1	109	0.009174312	0
CORO6	1	109	0.009174312	0
CORO7	3	109	0.027522936	0
CD163_ENST00000396620	1	109	0.009174312	0
MYH11_ENST00000396324	1	109	0.009174312	0
KCNK9	1	109	0.009174312	0
DNAH8_ENST00000359357	8	109	0.073394495	0
KCNK5	1	109	0.009174312	0
KCNK7	2	109	0.018348624	0
KCNK1	1	109	0.009174312	0
CRY2	2	109	0.018348624	0
TRIML2	1	109	0.009174312	0
TRIML1	1	109	0.009174312	0
NACC2	1	109	0.009174312	0
ACOT11	1	109	0.009174312	0
KIAA0556	3	109	0.027522936	0
SCAF11	1	109	0.009174312	0
EYS_ENST00000370621	1	109	0.009174312	0
EVI2A	1	109	0.009174312	0
TMEM168	1	109	0.009174312	0
REPIN1	1	109	0.009174312	0
PMVK	2	109	0.018348624	0
GNA14	2	109	0.018348624	0
GNA13	2	109	0.018348624	0
KLHDC8A	2	109	0.018348624	0
RB1_ENST00000267163	14	109	0.128440367	0
MFGE8	1	109	0.009174312	0
SH2B1	1	109	0.009174312	0
MSL3_ENST00000337339	1	109	0.009174312	0
SBF1	1	109	0.009174312	0
SBF2	3	109	0.027522936	0
ADD2	3	109	0.027522936	0
SgK269	1	109	0.009174312	0
OGDH	1	109	0.009174312	0
MLLT4_ENST00000392108	1	109	0.009174312	0
SEMG1	1	109	0.009174312	0
UPP1	1	109	0.009174312	0
SEMG2	1	109	0.009174312	0
WEE1	3	109	0.027522936	0
NACA_ENST00000550952	1	109	0.009174312	0
BCAT2	2	109	0.018348624	0
TAS2R13	1	109	0.009174312	0
MACROD1	1	109	0.009174312	0
PDE4A_ENST00000352831	1	109	0.009174312	0
ZNF833P	1	109	0.009174312	0
TLX1_ENST00000370196	1	109	0.009174312	0
TFAM_ENST00000395377	1	109	0.009174312	0
NOVA2	1	109	0.009174312	0
NOVA1	1	109	0.009174312	0
SYNE3_ENST00000334258	1	109	0.009174312	0
DDR2_ENST00000458105	1	109	0.009174312	0
NLRP14_ENST00000299481	2	109	0.018348624	0
TEX14_ENST00000240361	2	109	0.018348624	0
KRR1	1	109	0.009174312	0
SPATA17	1	109	0.009174312	0
TMEM132A	1	109	0.009174312	0
TMEM132B	1	109	0.009174312	0
OVGP1	3	109	0.027522936	0
CETN1	1	109	0.009174312	0
LTC4S	1	109	0.009174312	0
H3F3C	1	109	0.009174312	0
H3F3B	1	109	0.009174312	0
PPM1B_ENST00000282412	2	109	0.018348624	0
CCL27	1	109	0.009174312	0
ALPK3	1	109	0.009174312	0
C8orf44	1	109	0.009174312	0
C8orf41	2	109	0.018348624	0
CDC45	1	109	0.009174312	0
CUX2	1	109	0.009174312	0
FSIP1	1	109	0.009174312	0
GLYATL1	1	109	0.009174312	0
BCL2_ENST00000398117	1	109	0.009174312	0
CDH24_ENST00000397359	2	109	0.018348624	0
SLC18A3	1	109	0.009174312	0
SLC18A2	1	109	0.009174312	0
GOSR1	2	109	0.018348624	0
CCDC97	1	109	0.009174312	0
PCSK5_ENST00000545128	1	109	0.009174312	0
NRN1	1	109	0.009174312	0
PRKACB_ENST00000394838	1	109	0.009174312	0
ZNF831	4	109	0.036697248	0
FCAMR_ENST00000324852	1	109	0.009174312	0
IPO11	1	109	0.009174312	0
RAPGEF6_ENST00000308008	2	109	0.018348624	0
IPO13	3	109	0.027522936	0
CTTN_ENST00000376561	2	109	0.018348624	0
ACAT2	3	109	0.027522936	0
SHPRH_ENST00000367505	5	109	0.04587156	0
AFTPH_ENST00000238855	1	109	0.009174312	0
LIMD1	2	109	0.018348624	0
TRIM41	1	109	0.009174312	0
SEC24B_ENST00000265175	2	109	0.018348624	0
LDLR	1	109	0.009174312	0
HEATR8_ENST00000421030	2	109	0.018348624	0
IL2RA	1	109	0.009174312	0
IL2RB	1	109	0.009174312	0
SLC17A8	2	109	0.018348624	0
SLC17A9	1	109	0.009174312	0
SLC17A4	1	109	0.009174312	0
SLC17A7	1	109	0.009174312	0
SLC17A3	1	109	0.009174312	0
TRPV3	1	109	0.009174312	0
CDK5RAP2	2	109	0.018348624	0
AIF1L_ENST00000372309	1	109	0.009174312	0
MYF5	2	109	0.018348624	0
ITCH	1	109	0.009174312	0
ZNF207	1	109	0.009174312	0
CHMP4A	1	109	0.009174312	0
SYNPO2_ENST00000307142	1	109	0.009174312	0
TPP2	2	109	0.018348624	0
CTSK	1	109	0.009174312	0
PRKCDBP	1	109	0.009174312	0
SLC37A3	2	109	0.018348624	0
CDK19	3	109	0.027522936	0
GFI1B	1	109	0.009174312	0
MYOD1	1	109	0.009174312	0
PMPCA	1	109	0.009174312	0
AFAP1L2_ENST00000541919	1	109	0.009174312	0
SULF2	2	109	0.018348624	0
SULF1	3	109	0.027522936	0
CDK15	1	109	0.009174312	0
ST5	2	109	0.018348624	0
GPR125	1	109	0.009174312	0
GZF1	1	109	0.009174312	0
ATP6V1B1	1	109	0.009174312	0
GPR128	1	109	0.009174312	0
VIPAR	2	109	0.018348624	0
CTSD	1	109	0.009174312	0
ZNF304	1	109	0.009174312	0
BFSP1	2	109	0.018348624	0
ATXN2L_ENST00000395547	3	109	0.027522936	0
RND3	1	109	0.009174312	0
ZNF451_ENST00000370706	1	109	0.009174312	0
HDAC10	1	109	0.009174312	0
SETD3	1	109	0.009174312	0
MAGI3_ENST00000307546	1	109	0.009174312	0
B3GNT1	1	109	0.009174312	0
FNDC4	1	109	0.009174312	0
DCT_ENST00000446125	1	109	0.009174312	0
FLJ13236	1	109	0.009174312	0
PPP3CB_ENST00000394823	1	109	0.009174312	0
SPTAN1_ENST00000372739	6	109	0.055045872	0
CCDC151	1	109	0.009174312	0
CCDC157	2	109	0.018348624	0
WRAP73	1	109	0.009174312	0
TIMM50	1	109	0.009174312	0
SYT2	2	109	0.018348624	0
OR6T1	1	109	0.009174312	0
SYT4	1	109	0.009174312	0
SYT7	1	109	0.009174312	0
RHO	1	109	0.009174312	0
SG269_HUMAN	1	109	0.009174312	0
OBFC2A	1	109	0.009174312	0
MEP1A	3	109	0.027522936	0
COLQ	1	109	0.009174312	0
SAP30	1	109	0.009174312	0
TCP11L2	2	109	0.018348624	0
CNTROB	2	109	0.018348624	0
THEMIS_ENST00000543064	2	109	0.018348624	0
ANGPT4	1	109	0.009174312	0
DUPD1	1	109	0.009174312	0
C1orf56	1	109	0.009174312	0
C1orf55	1	109	0.009174312	0
KCNMA1_ENST00000406533	4	109	0.036697248	0
CD36_ENST00000433696	1	109	0.009174312	0
SMARCC2_ENST00000267064	2	109	0.018348624	0
ATP6V0A1	1	109	0.009174312	0
KRT74	1	109	0.009174312	0
GANAB_ENST00000346178	1	109	0.009174312	0
KRT73	2	109	0.018348624	0
ATM	6	109	0.055045872	0
KRT79	2	109	0.018348624	0
C17orf101	1	109	0.009174312	0
ADAM33	1	109	0.009174312	0
SMPD3	2	109	0.018348624	0
SMPD2	1	109	0.009174312	0
ATP5A1	2	109	0.018348624	0
ADH7_ENST00000476959	3	109	0.027522936	0
DOT1L	2	109	0.018348624	0
NFATC4_ENST00000413692	2	109	0.018348624	0
TCF7_ENST00000361590	1	109	0.009174312	0
DISC1_ENST00000366636	1	109	0.009174312	0
MOCS1_ENST00000340692	1	109	0.009174312	0
C1orf101_ENST00000366534	2	109	0.018348624	0
ENO2	1	109	0.009174312	0
SYCP3	1	109	0.009174312	0
TAOK2	2	109	0.018348624	0
ENSG00000156509	1	109	0.009174312	0
LLGL2	1	109	0.009174312	0
SLC22A16	1	109	0.009174312	0
SLC22A14	1	109	0.009174312	0
DEPDC7_ENST00000241051	1	109	0.009174312	0
SLC22A12	2	109	0.018348624	0
ITPKB_ENST00000429204	1	109	0.009174312	0
NSMCE2	1	109	0.009174312	0
CES5A_ENST00000521992	1	109	0.009174312	0
PRKAA2	1	109	0.009174312	0
CELF4	1	109	0.009174312	0
GAL3ST1	1	109	0.009174312	0
GAL3ST3	2	109	0.018348624	0
GAL3ST4	2	109	0.018348624	0
ZMYM4_ENST00000314607	1	109	0.009174312	0
IL18RAP	2	109	0.018348624	0
C4orf50	1	109	0.009174312	0
C3orf32	1	109	0.009174312	0
USH1C	1	109	0.009174312	0
TOP1MT	1	109	0.009174312	0
C15orf63	1	109	0.009174312	0
CES3	2	109	0.018348624	0
ERBB3_ENST00000411731	2	109	0.018348624	0
EBF1	1	109	0.009174312	0
FFAR2	1	109	0.009174312	0
FFAR1	1	109	0.009174312	0
BDH2	1	109	0.009174312	0
MDP1	1	109	0.009174312	0
BDH1	1	109	0.009174312	0
DDX23	1	109	0.009174312	0
DDX21	2	109	0.018348624	0
DDX20	1	109	0.009174312	0
DDX27	2	109	0.018348624	0
POLR1E_ENST00000377792	2	109	0.018348624	0
ZNF154	1	109	0.009174312	0
GAS6_ENST00000357389	1	109	0.009174312	0
ZNF91	2	109	0.018348624	0
MYB_ENST00000341911	1	109	0.009174312	0
FLVCR1	1	109	0.009174312	0
FKBP10	2	109	0.018348624	0
TBX20	1	109	0.009174312	0
TACO1	1	109	0.009174312	0
OSBPL9_ENST00000371710	1	109	0.009174312	0
RIOK2_ENST00000508447	1	109	0.009174312	0
CNGB1	4	109	0.036697248	0
C9orf163	1	109	0.009174312	0
CNGB3	2	109	0.018348624	0
PLA2G6	1	109	0.009174312	0
PLA2G7	2	109	0.018348624	0
MARCKS	1	109	0.009174312	0
PLA2G3	2	109	0.018348624	0
PITPNB_ENST00000335272	1	109	0.009174312	0
ERBB2	17	213	0.079812207	0
CCDC77	1	109	0.009174312	0
ATPAF1	3	109	0.027522936	0
ERBB4	3	109	0.027522936	0
CCDC71	1	109	0.009174312	0
FPR1	1	109	0.009174312	0
WSCD2	1	109	0.009174312	0
ATP2C1_ENST00000393221	2	109	0.018348624	0
FOXH1	1	109	0.009174312	0
TMEM104	1	109	0.009174312	0
SMPDL3B	2	109	0.018348624	0
SMPDL3A	1	109	0.009174312	0
CSHL1	1	109	0.009174312	0
CTTN_ENST00000301843	2	109	0.018348624	0
ZCWPW1	2	109	0.018348624	0
FKBP1B	1	109	0.009174312	0
SPEG	2	109	0.018348624	0
SS18L1_ENST00000370848	1	109	0.009174312	0
TIMM8B	2	109	0.018348624	0
RUNX1T1_ENST00000265814	1	109	0.009174312	0
AHNAK	8	109	0.073394495	0
NKAIN2	1	109	0.009174312	0
MAP1A	4	109	0.036697248	0
UNC5B	1	109	0.009174312	0
ARHGEF7_ENST00000375736	1	109	0.009174312	0
TYRO3_ENST00000263798	1	109	0.009174312	0
UNC5A	1	109	0.009174312	0
CCM2	2	109	0.018348624	0
SORBS2_ENST00000437304	1	109	0.009174312	0
FRMD1	1	109	0.009174312	0
PKNOX2	1	109	0.009174312	0
FRMD3	1	109	0.009174312	0
CACNB3_ENST00000536187	1	109	0.009174312	0
PTCD2	1	109	0.009174312	0
GNAZ	2	109	0.018348624	0
PTCD1	2	109	0.018348624	0
UBA3	2	109	0.018348624	0
DPF2	1	109	0.009174312	0
ATP2B3_ENST00000349466	1	109	0.009174312	0
PSG6_ENST00000292125	3	109	0.027522936	0
RPL18A	1	109	0.009174312	0
RPS11	1	109	0.009174312	0
KRT2	1	109	0.009174312	0
KRT7	2	109	0.018348624	0
CRYGN	1	109	0.009174312	0
KRT4	3	109	0.027522936	0
CRYGA	1	109	0.009174312	0
CEND1	1	109	0.009174312	0
KRT8	1	109	0.009174312	0
CRYGD	1	109	0.009174312	0
TAOK3_ENST00000419821	1	109	0.009174312	0
ALOX12B	2	109	0.018348624	0
CCDC23	1	109	0.009174312	0
EPB41L3	4	109	0.036697248	0
ACSS1	4	109	0.036697248	0
PLEKHM1	1	109	0.009174312	0
PLEKHM3	2	109	0.018348624	0
GMEB2	1	109	0.009174312	0
SLC43A3	1	109	0.009174312	0
SLC43A1	1	109	0.009174312	0
FAM162A	1	109	0.009174312	0
FRMD4A	2	109	0.018348624	0
WNT2	2	109	0.018348624	0
RIPK3	2	109	0.018348624	0
TREML2	1	109	0.009174312	0
PPP1R15B	1	109	0.009174312	0
CDHR1	2	109	0.018348624	0
GPRIN2	1	109	0.009174312	0
GPRIN3	4	109	0.036697248	0
GPRIN1	1	109	0.009174312	0
ROGDI	1	109	0.009174312	0
TP53_ENST00000455263	38	120	0.316666667	0
INSR	2	109	0.018348624	0
HIST2H2BE	1	109	0.009174312	0
SPTBN4	1	109	0.009174312	0
SPTBN1	1	109	0.009174312	0
TTL_ENST00000233336	1	109	0.009174312	0
KLF12	1	109	0.009174312	0
KLF10	2	109	0.018348624	0
RNF170	1	109	0.009174312	0
KLF15	1	109	0.009174312	0
ASPH_ENST00000379449	1	109	0.009174312	0
ABR_ENST00000291107	2	109	0.018348624	0
ROS1_ENST00000368507	3	109	0.027522936	0
SLC44A2	3	109	0.027522936	0
ZBTB7C	1	109	0.009174312	0
SLC26A1_ENST00000398520	1	109	0.009174312	0
SARDH_ENST00000298628	1	109	0.009174312	0
MSI1	1	109	0.009174312	0
PCNT	4	109	0.036697248	0
UTY	4	109	0.036697248	0
KCNIP4_ENST00000382148	1	109	0.009174312	0
ENGASE	1	109	0.009174312	0
PACRG	3	109	0.027522936	0
C9orf3_ENST00000427193	1	109	0.009174312	0
CD6_ENST00000313421	1	109	0.009174312	0
TENC1	2	109	0.018348624	0
NDUFS1	2	109	0.018348624	0
SCYL1_ENST00000270176	2	109	0.018348624	0
NDUFS7	1	109	0.009174312	0
ILF3	1	109	0.009174312	0
ZRANB1	1	109	0.009174312	0
BOC	2	109	0.018348624	0
DENND2A	4	109	0.036697248	0
INPP4B	1	109	0.009174312	0
MICAL1	2	109	0.018348624	0
PHC2	1	109	0.009174312	0
MFAP3L	1	109	0.009174312	0
ANKRD44_ENST00000282272	2	109	0.018348624	0
GRXCR2	1	109	0.009174312	0
PRF1	2	109	0.018348624	0
H2AFV	1	109	0.009174312	0
OR2A25	2	109	0.018348624	0
H2AFX	1	109	0.009174312	0
H2AFY	1	109	0.009174312	0
C8orf34_ENST00000518698	1	109	0.009174312	0
DOCK8_ENST00000453981	4	109	0.036697248	0
RFX6	1	109	0.009174312	0
FERMT1_ENST00000339538	1	109	0.009174312	0
RFX1	1	109	0.009174312	0
PPP1R21	1	109	0.009174312	0
TMEM59L	1	109	0.009174312	0
LRRC67	1	109	0.009174312	0
DPEP2	2	109	0.018348624	0
NMD3	1	109	0.009174312	0
C7orf31	2	109	0.018348624	0
C7orf30	1	109	0.009174312	0
GCDH_ENST00000457854	2	109	0.018348624	0
PVRL1_ENST00000341398	1	109	0.009174312	0
RICTOR_ENST00000296782	1	109	0.009174312	0
PCOLCE	2	109	0.018348624	0
FAM118B	1	109	0.009174312	0
LMX1B	1	109	0.009174312	0
KIAA0467_ENST00000372442	2	109	0.018348624	0
SGCA	1	109	0.009174312	0
BAIAP3	2	109	0.018348624	0
BAIAP2	3	109	0.027522936	0
ACTR5	2	109	0.018348624	0
KRT82	1	109	0.009174312	0
RECQL5	1	109	0.009174312	0
NLRP7_ENST00000328092	2	109	0.018348624	0
PPP2R3A_ENST00000334546	1	109	0.009174312	0
SPHKAP_ENST00000392056	5	109	0.04587156	0
CUTA_ENST00000374500	1	109	0.009174312	0
CNR2	1	109	0.009174312	0
IL10RB	1	109	0.009174312	0
BIRC6_ENST00000421745	1	109	0.009174312	0
PHF8_ENST00000357988	1	109	0.009174312	0
HHEX	1	109	0.009174312	0
TGS1	2	109	0.018348624	0
PPP4R1_ENST00000400556	3	109	0.027522936	0
LDB1_ENST00000425280	1	109	0.009174312	0
FAM65A_ENST00000379312	2	109	0.018348624	0
ACTRT2	1	109	0.009174312	0
GNRH2	1	109	0.009174312	0
PITPNM3	4	109	0.036697248	0
CLK4_ENST00000316308	1	109	0.009174312	0
ADAM17	1	109	0.009174312	0
ADAM19	1	109	0.009174312	0
WNT8A	2	109	0.018348624	0
DNMT3B	1	109	0.009174312	0
DNMT3A	1	123	0.008130081	0
SHANK1	1	109	0.009174312	0
MAPK13_ENST00000211287	2	109	0.018348624	0
SALL4	2	109	0.018348624	0
PLAC8L1	1	109	0.009174312	0
DSC3_ENST00000434452	1	109	0.009174312	0
PCSK2	3	109	0.027522936	0
PRKAG3	1	109	0.009174312	0
PCSK1	1	109	0.009174312	0
VNN3_ENST00000207771	3	109	0.027522936	0
PCSK5	1	109	0.009174312	0
HIPK1	2	109	0.018348624	0
HIPK4	1	109	0.009174312	0
LEMD2	1	109	0.009174312	0
NCAN	1	109	0.009174312	0
SLC16A6	1	109	0.009174312	0
ESPL1	6	109	0.055045872	0
C3orf15	1	109	0.009174312	0
C3orf17	1	109	0.009174312	0
FHL1_ENST00000394155	1	109	0.009174312	0
LARP1	1	109	0.009174312	0
LARP4	1	109	0.009174312	0
XPO4_ENST00000255305	1	109	0.009174312	0
LARP7	1	109	0.009174312	0
ZFAT_ENST00000377838	2	109	0.018348624	0
CSNK1D_ENST00000314028	1	109	0.009174312	0
STEAP2_ENST00000394626	1	109	0.009174312	0
COL15A1	3	109	0.027522936	0
ZNF174	2	109	0.018348624	0
DDX43	3	109	0.027522936	0
DDX42	1	109	0.009174312	0
LMLN	1	109	0.009174312	0
PTEN	14	441	0.031746032	0
ATMIN	1	109	0.009174312	0
RGS3_ENST00000374140	1	109	0.009174312	0
SETDB1_ENST00000271640	1	109	0.009174312	0
LGR5	2	109	0.018348624	0
LGR4	2	109	0.018348624	0
CDKN1B	2	109	0.018348624	0
CDKN1A	6	109	0.055045872	0
CMTM5_ENST00000339180	2	109	0.018348624	0
DFNB31_ENST00000374057	1	109	0.009174312	0
MLL5	3	109	0.027522936	0
RBM19	2	109	0.018348624	0
MORC4_ENST00000355610	1	109	0.009174312	0
SAP130	2	109	0.018348624	0
DNAI1	2	109	0.018348624	0
DNAI2	1	109	0.009174312	0
KPNA6_ENST00000373625	1	109	0.009174312	0
FAM151A	2	109	0.018348624	0
REG3A	3	109	0.027522936	0
FOXJ1	1	109	0.009174312	0
PDE1A_ENST00000456212	1	109	0.009174312	0
KLKB1_ENST00000264690	1	109	0.009174312	0
RGL3_ENST00000380456	1	109	0.009174312	0
CABP2	1	109	0.009174312	0
FBXO34	1	109	0.009174312	0
RABGAP1L_ENST00000347255	1	109	0.009174312	0
FBXO31	2	109	0.018348624	0
ZC3H7B	1	109	0.009174312	0
FBXO39	1	109	0.009174312	0
MBOAT2	1	109	0.009174312	0
MBOAT1	1	109	0.009174312	0
SPSB3	2	109	0.018348624	0
UNC79	3	109	0.027522936	0
DLEC1_ENST00000346219	3	109	0.027522936	0
ALAS2	1	109	0.009174312	0
OR2A5	2	109	0.018348624	0
OR2T34	1	109	0.009174312	0
ITPR3_ENST00000374316	3	109	0.027522936	0
LONRF3	2	109	0.018348624	0
AIP	2	109	0.018348624	0
NALP6	3	109	0.027522936	0
C20orf201	1	109	0.009174312	0
APBA2	1	109	0.009174312	0
HTATIP2_ENST00000419348	1	109	0.009174312	0
LIMS1_ENST00000542845	1	109	0.009174312	0
OR9G1	1	109	0.009174312	0
UCHL5_ENST00000367450	1	109	0.009174312	0
FTSJD2	1	109	0.009174312	0
TOPORS_ENST00000360538	1	109	0.009174312	0
CCNA1	2	109	0.018348624	0
ATP13A2	3	109	0.027522936	0
ATP13A5	2	109	0.018348624	0
RAI1	1	109	0.009174312	0
SKA3	1	109	0.009174312	0
LRRIQ3	5	109	0.04587156	0
GZMB_ENST00000382542	1	109	0.009174312	0
MDM2_ENST00000462284	2	109	0.018348624	0
C1orf114	1	109	0.009174312	0
ADAT1	1	109	0.009174312	0
LGALS3BP	1	109	0.009174312	0
PLEKHO1	1	109	0.009174312	0
EYA4_ENST00000355167	3	109	0.027522936	0
E2F4	1	109	0.009174312	0
C6orf81	1	109	0.009174312	0
E4F1_ENST00000301727	3	109	0.027522936	0
CCDC40_ENST00000374877	1	109	0.009174312	0
ACBD4	1	109	0.009174312	0
MYO3A_ENST00000543632	4	109	0.036697248	0
EEF2	1	109	0.009174312	0
C2orf29	2	109	0.018348624	0
TAF1_ENST00000276072	3	109	0.027522936	0
ZNF334	3	109	0.027522936	0
HYLS1	1	109	0.009174312	0
IZUMO2	1	109	0.009174312	0
ZNF135_ENST00000401053	1	109	0.009174312	0
SPG11_ENST00000558319	2	109	0.018348624	0
TEX19	1	109	0.009174312	0
RFX4_ENST00000229387	1	109	0.009174312	0
WNT10B	2	109	0.018348624	0
IL36A	1	109	0.009174312	0
NOTCH3_ENST00000263388	2	109	0.018348624	0
ADAMTS16_ENST00000274181	1	109	0.009174312	0
LIPE	1	109	0.009174312	0
LIPF	1	109	0.009174312	0
TMC8	1	109	0.009174312	0
LIPJ	1	109	0.009174312	0
DFFA	1	109	0.009174312	0
ZNF81_ENST00000376954	1	109	0.009174312	0
HOGA1	1	109	0.009174312	0
ACCN4	1	109	0.009174312	0
KAL1	1	109	0.009174312	0
MRPL41	1	109	0.009174312	0
HGFAC	2	109	0.018348624	0
MRPL44	1	109	0.009174312	0
TRIP6	1	109	0.009174312	0
NGF	1	109	0.009174312	0
HYDIN_ENST00000316490	3	109	0.027522936	0
ZNF696	1	109	0.009174312	0
C16orf3	1	109	0.009174312	0
SRSF3_ENST00000339436	1	109	0.009174312	0
LAMB3	2	109	0.018348624	0
LAMB2	2	109	0.018348624	0
